RULE000001;A1;H1;K1;S1;U1;F10
RULE000002;A1;H1;K1;S1;U2;F10
RULE000003;A1;H1;K1;S1;U3;F11
RULE000004;A1;H1;K1;S2;U1;F10
RULE000005;A1;H1;K1;S2;U2;F10
RULE000006;A1;H1;K1;S2;U3;F11
RULE000007;A1;H1;K1;S3;U1;F10
RULE000008;A1;H1;K1;S3;U2;F12
RULE000009;A1;H1;K1;S3;U3;F13
RULE000010;A1;H1;K2;S1;U1;F10
RULE000011;A1;H1;K2;S1;U2;F10
RULE000012;A1;H1;K2;S1;U3;F11
RULE000013;A1;H1;K2;S2;U1;F10
RULE000014;A1;H1;K2;S2;U2;F12
RULE000015;A1;H1;K2;S2;U3;F13
RULE000016;A1;H1;K2;S3;U1;F10
RULE000017;A1;H1;K2;S3;U2;F12
RULE000018;A1;H1;K2;S3;U3;F13
RULE000019;A1;H1;K3;S1;U1;F10
RULE000020;A1;H1;K3;S1;U2;F10
RULE000021;A1;H1;K3;S1;U3;F11
RULE000022;A1;H1;K3;S2;U1;F10
RULE000023;A1;H1;K3;S2;U2;F12
RULE000024;A1;H1;K3;S2;U3;F13
RULE000025;A1;H1;K3;S3;U1;F10
RULE000026;A1;H1;K3;S3;U2;F12
RULE000027;A1;H1;K3;S3;U3;F13
RULE000028;A1;H2;K1;S1;U1;F10
RULE000029;A1;H2;K1;S1;U2;F10
RULE000030;A1;H2;K1;S1;U3;F11
RULE000031;A1;H2;K1;S2;U1;F10
RULE000032;A1;H2;K1;S2;U2;F12
RULE000033;A1;H2;K1;S2;U3;F13
RULE000034;A1;H2;K1;S3;U1;F10
RULE000035;A1;H2;K1;S3;U2;F12
RULE000036;A1;H2;K1;S3;U3;F13
RULE000037;A1;H2;K2;S1;U1;F10
RULE000038;A1;H2;K2;S1;U2;F10
RULE000039;A1;H2;K2;S1;U3;F11
RULE000040;A1;H2;K2;S2;U1;F10
RULE000041;A1;H2;K2;S2;U2;F12
RULE000042;A1;H2;K2;S2;U3;F13
RULE000043;A1;H2;K2;S3;U1;F10
RULE000044;A1;H2;K2;S3;U2;F12
RULE000045;A1;H2;K2;S3;U3;F13
RULE000046;A1;H2;K3;S1;U1;F8
RULE000047;A1;H2;K3;S1;U2;F9
RULE000048;A1;H2;K3;S1;U3;F10
RULE000049;A1;H2;K3;S2;U1;F7
RULE000050;A1;H2;K3;S2;U2;F8
RULE000051;A1;H2;K3;S2;U3;F10
RULE000052;A1;H2;K3;S3;U1;F12
RULE000053;A1;H2;K3;S3;U2;F12
RULE000054;A1;H2;K3;S3;U3;F13
RULE000055;A1;H3;K1;S1;U1;F8
RULE000056;A1;H3;K1;S1;U2;F9
RULE000057;A1;H3;K1;S1;U3;F10
RULE000058;A1;H3;K1;S2;U1;F7
RULE000059;A1;H3;K1;S2;U2;F8
